Group ID,PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Source Files,Source Row Count,Is OA,OA URL,PDF Path,Download Source,Failure Reason,Download Status
paper-0011,38347885,INSPIRE datahub: a pan-African integrated suite of services for harmonising longitudinal population health data using OHDSI tools,"Bhattacharjee T, Kiwuwa-Muyingo S, Kanjala C, Maoyi ML, Amadi D, Ochola M, Kadengye D, Gregory A, Kiragga A, Taylor A, Greenfield J, Slaymaker E, Todd J; INSPIRE Network.",Front Digit Health. 2024 Jan 29;6:1329630. doi: 10.3389/fdgth.2024.1329630. eCollection 2024.,Bhattacharjee T,Front Digit Health,2024,2024/02/13,PMC10859396,,10.3389/fdgth.2024.1329630,csv-OHDSI-set.csv;csv-ohdsiomop-set.csv;csv-omop-set.csv,3,yes,https://www.frontiersin.org/articles/10.3389/fdgth.2024.1329630/pdf?isPublishedV2=False,/home/smudoshi/Github/Parthenon/OHDSI-scraper/validated_oa_corpus/pdfs/10.3389_fdgth.2024.1329630__ab0e35607ac4.pdf,existing_file,,downloaded
paper-0012,33882595,Drawing Reproducible Conclusions from Observational Clinical Data with OHDSI,"Hripcsak G, Schuemie MJ, Madigan D, Ryan PB, Suchard MA.",Yearb Med Inform. 2021 Aug;30(1):283-289. doi: 10.1055/s-0041-1726481. Epub 2021 Apr 21.,Hripcsak G,Yearb Med Inform,2021,2021/04/21,PMC8416226,,10.1055/s-0041-1726481,csv-OHDSI-set.csv,1,yes,http://www.thieme-connect.de/products/ejournals/pdf/10.1055/s-0041-1726481.pdf,/home/smudoshi/Github/Parthenon/OHDSI-scraper/validated_oa_corpus/pdfs/10.1055_s-0041-1726481__762b9a618410.pdf,existing_file,,downloaded
paper-0013,30738946,ADEpedia-on-OHDSI: A next generation pharmacovigilance signal detection platform using the OHDSI common data model,"Yu Y, Ruddy KJ, Hong N, Tsuji S, Wen A, Shah ND, Jiang G.",J Biomed Inform. 2019 Mar;91:103119. doi: 10.1016/j.jbi.2019.103119. Epub 2019 Feb 7.,Yu Y,J Biomed Inform,2019,2019/02/11,PMC6432939,NIHMS1521934,10.1016/j.jbi.2019.103119,csv-OHDSI-set.csv,1,yes,https://europepmc.org/articles/PMC6432939?pdf=render,,,HTTPError,failed
paper-0014,38635655,The OMOP common data model in Australian primary care data: Building a quality research ready harmonised dataset,"Ward R, Hallinan CM, Ormiston-Smith D, Chidgey C, Boyle D.",PLoS One. 2024 Apr 18;19(4):e0301557. doi: 10.1371/journal.pone.0301557. eCollection 2024.,Ward R,PLoS One,2024,2024/04/18,PMC11025850,,10.1371/journal.pone.0301557,csv-OHDSI-set.csv;csv-ohdsiomop-set.csv;csv-omop-set.csv,3,yes,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0301557&type=printable,/home/smudoshi/Github/Parthenon/OHDSI-scraper/validated_oa_corpus/pdfs/10.1371_journal.pone.0301557__da2d23ba2c68.pdf,existing_file,,downloaded
paper-0015,36935011,Representing and utilizing clinical textual data for real world studies: An OHDSI approach,"Keloth VK, Banda JM, Gurley M, Heider PM, Kennedy G, Liu H, Liu F, Miller T, Natarajan K, V Patterson O, Peng Y, Raja K, Reeves RM, Rouhizadeh M, Shi J, Wang X, Wang Y, Wei WQ, Williams AE, Zhang R, Belenkaya R, Reich C, Blacketer C, Ryan P, Hripcsak G, Elhadad N, Xu H.",J Biomed Inform. 2023 Jun;142:104343. doi: 10.1016/j.jbi.2023.104343. Epub 2023 Mar 17.,Keloth VK,J Biomed Inform,2023,2023/03/19,PMC10428170,NIHMS1897646,10.1016/j.jbi.2023.104343,csv-OHDSI-set.csv;csv-ohdsiomop-set.csv;csv-omop-set.csv,3,yes,https://pmc.ncbi.nlm.nih.gov/articles/PMC10428170/pdf/nihms-1897646.pdf,,,html_or_xml_response,failed
paper-0016,38046363,Conversion of CPRD AURUM Data into the OMOP Common Data Model,Mayer CS.,Inform Med Unlocked. 2023;43:101407. doi: 10.1016/j.imu.2023.101407. Epub 2023 Nov 10.,Mayer CS,Inform Med Unlocked,2023,2023/12/04,PMC10688258,NIHMS1945870,10.1016/j.imu.2023.101407,csv-OHDSI-set.csv;csv-ohdsiomop-set.csv;csv-omop-set.csv,3,yes,https://pmc.ncbi.nlm.nih.gov/articles/PMC10688258/pdf/nihms-1945870.pdf,,,html_or_xml_response,failed
paper-0017,38105303,Implementation of inclusion and exclusion criteria in clinical studies in OHDSI ATLAS software,"Blasini R, Buchowicz KM, Schneider H, Samans B, Sohrabi K.",Sci Rep. 2023 Dec 18;13(1):22457. doi: 10.1038/s41598-023-49560-w.,Blasini R,Sci Rep,2023,2023/12/17,PMC10725886,,10.1038/s41598-023-49560-w,csv-OHDSI-set.csv,1,yes,https://www.nature.com/articles/s41598-023-49560-w.pdf,/home/smudoshi/Github/Parthenon/OHDSI-scraper/validated_oa_corpus/pdfs/10.1038_s41598-023-49560-w__932d6202ffb9.pdf,existing_file,,downloaded
paper-0018,36395615,An ETL-process design for data harmonization to participate in international research with German real-world data based on FHIR and OMOP CDM,"Peng Y, Henke E, Reinecke I, Zoch M, Sedlmayr M, Bathelt F.",Int J Med Inform. 2023 Jan;169:104925. doi: 10.1016/j.ijmedinf.2022.104925. Epub 2022 Nov 10.,Peng Y,Int J Med Inform,2023,2022/11/17,,,10.1016/j.ijmedinf.2022.104925,csv-OHDSI-set.csv;csv-ohdsiomop-set.csv;csv-omop-set.csv,3,no,,,,,no_open_copy_found
paper-0019,38412331,Towards global model generalizability: independent cross-site feature evaluation for patient-level risk prediction models using the OHDSI network,"Naderalvojoud B, Curtin CM, Yanover C, El-Hay T, Choi B, Park RW, Tabuenca JG, Reeve MP, Falconer T, Humphreys K, Asch SM, Hernandez-Boussard T.",J Am Med Inform Assoc. 2024 Apr 19;31(5):1051-1061. doi: 10.1093/jamia/ocae028.,Naderalvojoud B,J Am Med Inform Assoc,2024,2024/02/27,PMC11031239,,10.1093/jamia/ocae028,csv-OHDSI-set.csv;csv-ohdsiomop-set.csv;csv-omop-set.csv,3,yes,https://academic.oup.com/jamia/article-pdf/31/5/1051/57286309/ocae028.pdf,,,HTTPError,failed
paper-0020,37034358,Contextualising adverse events of special interest to characterise the baseline incidence rates in 24 million patients with COVID-19 across 26 databases: a multinational retrospective cohort study,"Voss EA, Shoaibi A, Yin Hui Lai L, Blacketer C, Alshammari T, Makadia R, Haynes K, Sena AG, Rao G, van Sandijk S, Fraboulet C, Boyer L, Le Carrour T, Horban S, Morales DR, Martínez Roldán J, Ramírez-Anguita JM, Mayer MA, de Wilde M, John LH, Duarte-Salles T, Roel E, Pistillo A, Kolde R, Maljković F, Denaxas S, Papez V, Kahn MG, Natarajan K, Reich C, Secora A, Minty EP, Shah NH, Posada JD, Garcia Morales MT, Bosca D, Cadenas Juanino H, Diaz Holgado A, Pedrera Jiménez M, Serrano Balazote P, García Barrio N, Şen S, Üresin AY, Erdogan B, Belmans L, Byttebier G, Malbrain MLNG, Dedman DJ, Cuccu Z, Vashisht R, Butte AJ, Patel A, Dahm L, Han C, Bu F, Arshad F, Ostropolets A, Nyberg F, Hripcsak G, Suchard MA, Prieto-Alhambra D, Rijnbeek PR, Schuemie MJ, Ryan PB.",EClinicalMedicine. 2023 Apr;58:101932. doi: 10.1016/j.eclinm.2023.101932. Epub 2023 Apr 4.,Voss EA,EClinicalMedicine,2023,2023/04/10,PMC10072853,,10.1016/j.eclinm.2023.101932,csv-OHDSI-set.csv;csv-ohdsiomop-set.csv;csv-omop-set.csv,3,yes,http://repositori.upf.edu/bitstream/10230/56947/1/Voss_ecm_cont.pdf,/home/smudoshi/Github/Parthenon/OHDSI-scraper/validated_oa_corpus/pdfs/10.1016_j.eclinm.2023.101932__1ad26a163e58.pdf,existing_file,,downloaded
paper-0021,30526572,Preliminary exploration of survival analysis using the OHDSI common data model: a case study of intrahepatic cholangiocarcinoma,"Hong N, Zhang N, Wu H, Lu S, Yu Y, Hou L, Lu Y, Liu H, Jiang G.",BMC Med Inform Decis Mak. 2018 Dec 7;18(Suppl 5):116. doi: 10.1186/s12911-018-0686-7.,Hong N,BMC Med Inform Decis Mak,2018,2018/12/12,PMC6284277,,10.1186/s12911-018-0686-7,csv-OHDSI-set.csv,1,yes,https://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-018-0686-7,/home/smudoshi/Github/Parthenon/OHDSI-scraper/validated_oa_corpus/pdfs/10.1186_s12911-018-0686-7__851ede077e1e.pdf,existing_file,,downloaded
paper-0022,36406796,"Evaluating a novel approach to stimulate open science collaborations: a case series of ""study-a-thon"" events within the OHDSI and European IMI communities","Hughes N, Rijnbeek PR, van Bochove K, Duarte-Salles T, Steinbeisser C, Vizcaya D, Prieto-Alhambra D, Ryan P.",JAMIA Open. 2022 Nov 17;5(4):ooac100. doi: 10.1093/jamiaopen/ooac100. eCollection 2022 Dec.,Hughes N,JAMIA Open,2022,2022/11/21,PMC9670330,,10.1093/jamiaopen/ooac100,csv-OHDSI-set.csv,1,yes,https://academic.oup.com/jamiaopen/article-pdf/5/4/ooac100/47100820/ooac100.pdf,/home/smudoshi/Github/Parthenon/OHDSI-scraper/validated_oa_corpus/pdfs/10.1093_jamiaopen_ooac100__054d3c548cf7.pdf,existing_file,,downloaded
paper-0023,39228725,Adoption of the OMOP CDM for Cancer Research using Real-world Data: Current Status and Opportunities,"Wang L, Wen A, Fu S, Ruan X, Huang M, Li R, Lu Q, Williams AE, Liu H.",medRxiv [Preprint]. 2024 Aug 23:2024.08.23.24311950. doi: 10.1101/2024.08.23.24311950.,Wang L,medRxiv,2024,2024/09/04,PMC11370549,,10.1101/2024.08.23.24311950,csv-OHDSI-set.csv;csv-ohdsiomop-set.csv;csv-omop-set.csv,3,yes,https://www.medrxiv.org/content/medrxiv/early/2024/08/23/2024.08.23.24311950.full.pdf,/home/smudoshi/Github/Parthenon/OHDSI-scraper/validated_oa_corpus/pdfs/10.1101_2024.08.23.24311950__41768fbb8a6a.pdf,existing_file,,downloaded
paper-0024,39140273,Transforming Primary Care Data Into the Observational Medical Outcomes Partnership Common Data Model: Development and Usability Study,"Fruchart M, Quindroit P, Jacquemont C, Beuscart JB, Calafiore M, Lamer A.",JMIR Med Inform. 2024 Aug 13;12:e49542. doi: 10.2196/49542.,Fruchart M,JMIR Med Inform,2024,2024/08/14,PMC11337138,,10.2196/49542,csv-OHDSI-set.csv;csv-ohdsiomop-set.csv;csv-omop-set.csv,3,yes,https://hal.univ-lille.fr/hal-04679847v1/document,/home/smudoshi/Github/Parthenon/OHDSI-scraper/validated_oa_corpus/pdfs/10.2196_49542__a7ac2362a992.pdf,oa_url,,downloaded
paper-0025,26262116,Observational Health Data Sciences and Informatics (OHDSI): Opportunities for Observational Researchers,"Hripcsak G, Duke JD, Shah NH, Reich CG, Huser V, Schuemie MJ, Suchard MA, Park RW, Wong IC, Rijnbeek PR, van der Lei J, Pratt N, Norén GN, Li YC, Stang PE, Madigan D, Ryan PB.",Stud Health Technol Inform. 2015;216:574-8.,Hripcsak G,Stud Health Technol Inform,2015,2015/08/12,PMC4815923,NIHMS771006,,csv-OHDSI-set.csv,1,yes,https://europepmc.org/articles/PMC4815923?pdf=render,,,HTTPError,failed
paper-0026,34714250,Transforming Anesthesia Data Into the Observational Medical Outcomes Partnership Common Data Model: Development and Usability Study,"Lamer A, Abou-Arab O, Bourgeois A, Parrot A, Popoff B, Beuscart JB, Tavernier B, Moussa MD.",J Med Internet Res. 2021 Oct 29;23(10):e29259. doi: 10.2196/29259.,Lamer A,J Med Internet Res,2021,2021/10/29,PMC8590192,,10.2196/29259,csv-OHDSI-set.csv;csv-ohdsiomop-set.csv;csv-omop-set.csv,3,yes,https://www.jmir.org/2021/10/e29259/PDF,/home/smudoshi/Github/Parthenon/OHDSI-scraper/validated_oa_corpus/pdfs/10.2196_29259__53c5e473b13e.pdf,oa_url,,downloaded
paper-0027,32477694,Integrating Electronic Health Record Data into the ADEpedia-on-OHDSI Platform for Improved Signal Detection: A Case Study of Immune-related Adverse Events,"Yu Y, Ruddy KJ, Wen A, Zong N, Tsuji S, Chen J, Shah ND, Jiang G.",AMIA Jt Summits Transl Sci Proc. 2020 May 30;2020:710-719. eCollection 2020.,Yu Y,AMIA Jt Summits Transl Sci Proc,2020,2020/06/02,PMC7233056,,,csv-OHDSI-set.csv;csv-ohdsiomop-set.csv;csv-omop-set.csv,3,yes,https://europepmc.org/articles/PMC7233056?pdf=render,,,HTTPError,failed
paper-0028,36029954,Towards quality improvement of vaccine concept mappings in the OMOP vocabulary with a semi-automated method,"Abeysinghe R, Black A, Kaduk D, Li Y, Reich C, Davydov A, Yao L, Cui L.",J Biomed Inform. 2022 Oct;134:104162. doi: 10.1016/j.jbi.2022.104162. Epub 2022 Aug 25.,Abeysinghe R,J Biomed Inform,2022,2022/08/27,PMC9940475,NIHMS1870816,10.1016/j.jbi.2022.104162,csv-OHDSI-set.csv;csv-ohdsiomop-set.csv;csv-omop-set.csv,3,yes,https://europepmc.org/articles/PMC9940475?pdf=render,/home/smudoshi/Github/Parthenon/OHDSI-scraper/validated_oa_corpus/pdfs/10.1016_j.jbi.2022.104162__a6087f1a35cc.pdf,existing_file,,downloaded
paper-0029,29295408,Building Interoperable FHIR-Based Vocabulary Mapping Services: A Case Study of OHDSI Vocabularies and Mappings,"Jiang G, Kiefer R, Prud'hommeaux E, Solbrig HR.",Stud Health Technol Inform. 2017;245:1327.,Jiang G,Stud Health Technol Inform,2017,2018/01/04,PMC5939959,NIHMS961862,,csv-OHDSI-set.csv,1,yes,https://europepmc.org/articles/PMC5939959?pdf=render,,,HTTPError,failed
paper-0030,28815104,Electronic phenotyping with APHRODITE and the Observational Health Sciences and Informatics (OHDSI) data network,"Banda JM, Halpern Y, Sontag D, Shah NH.",AMIA Jt Summits Transl Sci Proc. 2017 Jul 26;2017:48-57. eCollection 2017.,Banda JM,AMIA Jt Summits Transl Sci Proc,2017,2017/08/18,PMC5543379,,,csv-OHDSI-set.csv,1,yes,https://europepmc.org/articles/PMC5543379?pdf=render,/home/smudoshi/Github/Parthenon/OHDSI-scraper/validated_oa_corpus/pdfs/PMC5543379__0bf14c6901aa.pdf,existing_file,,downloaded
paper-0031,40506029,Secondary Cancer Risk in Breast Cancer with and without Radiotherapy: The Observational Health Data Sciences and Informatics (OHDSI) Cohort Study,"Kim S, Boo D, Yoo S, Kim B, Kim K, Kim K, Song E, Kim J, Ryoo HG, Paeng JC, Choi IY, Ko S, Yoo IR, Park RW, Lee HY.",Cancer Res Treat. 2025 Jun 5. doi: 10.4143/crt.2024.968. Online ahead of print.,Kim S,Cancer Res Treat,2025,2025/06/12,,,10.4143/crt.2024.968,csv-OHDSI-set.csv,1,yes,https://www.e-crt.org/upload/pdf/crt-2024-968.pdf,/home/smudoshi/Github/Parthenon/OHDSI-scraper/validated_oa_corpus/pdfs/10.4143_crt.2024.968__e378b4e9c6c7.pdf,existing_file,,downloaded
paper-0032,38593431,Converge or Collide? Making Sense of a Plethora of Open Data Standards in Health Care,"Tsafnat G, Dunscombe R, Gabriel D, Grieve G, Reich C.",J Med Internet Res. 2024 Apr 9;26:e55779. doi: 10.2196/55779.,Tsafnat G,J Med Internet Res,2024,2024/04/09,PMC11040436,,10.2196/55779,csv-OHDSI-set.csv;csv-ohdsiomop-set.csv;csv-omop-set.csv,3,yes,,,,pmc_package_without_pdf,failed
paper-0033,39753061,ATC-to-RxNorm mappings - A comparison between OHDSI Standardized Vocabularies and UMLS Metathesaurus,"de Groot R, Glaser S, Kogan A, Medlock S, Alloni A, Gabetta M, Wilk S, de Keizer N, Cornet R.",Int J Med Inform. 2025 Mar;195:105777. doi: 10.1016/j.ijmedinf.2024.105777. Epub 2024 Dec 31.,de Groot R,Int J Med Inform,2025,2025/01/03,,,10.1016/j.ijmedinf.2024.105777,csv-OHDSI-set.csv,1,yes,https://pure.amsterdamumc.nl/ws/files/143241117/Atc-to-rxnorm-mappings--a-comparison-between-ohdsi-standardized-vocabularies-and-umls-metathesaurus.pdf,/home/smudoshi/Github/Parthenon/OHDSI-scraper/validated_oa_corpus/pdfs/10.1016_j.ijmedinf.2024.105777__a404a7353026.pdf,existing_file,,downloaded
paper-0034,35115001,Evaluating the performance of temporal pattern discovery: new application using statins and rhabdomyolysis in OMOP databases,"Lavallee M, Yu T, Evans L, Van Hemelrijck M, Bosco C, Golozar A, Asiimwe A.",BMC Med Inform Decis Mak. 2022 Feb 3;22(1):31. doi: 10.1186/s12911-022-01765-1.,Lavallee M,BMC Med Inform Decis Mak,2022,2022/02/04,PMC8812213,,10.1186/s12911-022-01765-1,csv-OHDSI-set.csv;csv-ohdsiomop-set.csv;csv-omop-set.csv,3,yes,https://bmcmedinformdecismak.biomedcentral.com/counter/pdf/10.1186/s12911-022-01765-1,/home/smudoshi/Github/Parthenon/OHDSI-scraper/validated_oa_corpus/pdfs/10.1186_s12911-022-01765-1__1d94229b0634.pdf,existing_file,,downloaded
paper-0035,29295227,A Consensus-Based Approach for Harmonizing the OHDSI Common Data Model with HL7 FHIR,"Jiang G, Kiefer RC, Sharma DK, Prud'hommeaux E, Solbrig HR.",Stud Health Technol Inform. 2017;245:887-891.,Jiang G,Stud Health Technol Inform,2017,2018/01/04,PMC5939955,NIHMS961581,,csv-OHDSI-set.csv,1,yes,https://europepmc.org/articles/PMC5939955?pdf=render,,,HTTPError,failed
paper-0036,41726461,LEVERAGING EPIC'S NATIVE ETL INFRASTRUCTURE FOR OMOP CDM IMPLEMENTATION: A COLLABORATIVE EXPERIENCE,"Cooper LN, Vadsariya A, Varghese M, Nayee B, Moon J, Katterapalli C, Walker C, Gonzalez C, Sohal S, Lehmann CU, Velasco F, Basit M, Willett D.",AMIA Annu Symp Proc. 2025 May 22;2024:287-292. eCollection 2024.,Cooper LN,AMIA Annu Symp Proc,2025,2026/02/23,PMC12919598,,,csv-OHDSI-set.csv;csv-ohdsiomop-set.csv;csv-omop-set.csv,3,yes,https://europepmc.org/articles/PMC12919598?pdf=render,,,HTTPError,failed
paper-0037,32229499,Extending an open-source tool to measure data quality: case report on Observational Health Data Science and Informatics (OHDSI),"Dixon BE, Wen C, French T, Williams JL, Duke JD, Grannis SJ.",BMJ Health Care Inform. 2020 Mar;27(1):e100054. doi: 10.1136/bmjhci-2019-100054.,Dixon BE,BMJ Health Care Inform,2020,2020/04/02,PMC7254131,NIHMS1590928,10.1136/bmjhci-2019-100054,csv-OHDSI-set.csv,1,yes,https://informatics.bmj.com/content/bmjhci/27/1/e100054.full.pdf,/home/smudoshi/Github/Parthenon/OHDSI-scraper/validated_oa_corpus/pdfs/10.1136_bmjhci-2019-100054__2cca17d2ff9f.pdf,existing_file,,downloaded
paper-0038,31238109,HemOnc: A new standard vocabulary for chemotherapy regimen representation in the OMOP common data model,"Warner JL, Dymshyts D, Reich CG, Gurley MJ, Hochheiser H, Moldwin ZH, Belenkaya R, Williams AE, Yang PC.",J Biomed Inform. 2019 Aug;96:103239. doi: 10.1016/j.jbi.2019.103239. Epub 2019 Jun 22.,Warner JL,J Biomed Inform,2019,2019/06/26,PMC6697579,NIHMS1534326,10.1016/j.jbi.2019.103239,csv-OHDSI-set.csv;csv-ohdsiomop-set.csv;csv-omop-set.csv,3,yes,https://europepmc.org/articles/PMC6697579?pdf=render,,,HTTPError,failed
