PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35576979","Applying the OMOP Common Data Model to Facilitate Benefit-Risk Assessments of Medicinal Products Using Real-World Data from Singapore and South Korea","Tan HX, Teo DCH, Lee D, Kim C, Neo JW, Sung C, Chahed H, Ang PS, Tan DSY, Park RW, Dorajoo SR.","Healthc Inform Res. 2022 Apr;28(2):112-122. doi: 10.4258/hir.2022.28.2.112. Epub 2022 Apr 30.","Tan HX","Healthc Inform Res","2022","2022/05/16","PMC9117808","","10.4258/hir.2022.28.2.112"
"38046363","Conversion of CPRD AURUM Data into the OMOP Common Data Model","Mayer CS.","Inform Med Unlocked. 2023;43:101407. doi: 10.1016/j.imu.2023.101407. Epub 2023 Nov 10.","Mayer CS","Inform Med Unlocked","2023","2023/12/04","PMC10688258","NIHMS1945870","10.1016/j.imu.2023.101407"
"32823317","Clinical Research Informatics","Daniel C, Kalra D; Section Editors for the IMIA Yearbook Section on Clinical Research Informatics.","Yearb Med Inform. 2020 Aug;29(1):203-207. doi: 10.1055/s-0040-1702007. Epub 2020 Aug 21.","Daniel C","Yearb Med Inform","2020","2020/08/22","PMC7442510","","10.1055/s-0040-1702007"
"38045364","MENDS-on-FHIR: Leveraging the OMOP common data model and FHIR standards for national chronic disease surveillance","Essaid S, Andre J, Brooks IM, Hohman KH, Hull M, Jackson SL, Kahn MG, Kraus EM, Mandadi N, Martinez AK, Mui JY, Zambarano B, Soares A.","medRxiv [Preprint]. 2023 Nov 22:2023.08.09.23293900. doi: 10.1101/2023.08.09.23293900.","Essaid S","medRxiv","2023","2023/12/04","PMC10690355","","10.1101/2023.08.09.23293900"
"33887457","Building an OMOP common data model-compliant annotated corpus for COVID-19 clinical trials","Sun Y, Butler A, Stewart LA, Liu H, Yuan C, Southard CT, Kim JH, Weng C.","J Biomed Inform. 2021 Jun;118:103790. doi: 10.1016/j.jbi.2021.103790. Epub 2021 Apr 28.","Sun Y","J Biomed Inform","2021","2021/04/22","PMC8079156","NIHMS1695446","10.1016/j.jbi.2021.103790"
"33411620","Extending the OMOP Common Data Model and Standardized Vocabularies to Support Observational Cancer Research","Belenkaya R, Gurley MJ, Golozar A, Dymshyts D, Miller RT, Williams AE, Ratwani S, Siapos A, Korsik V, Warner J, Campbell WS, Rivera D, Banokina T, Modina E, Bethusamy S, Stewart HM, Patel M, Chen R, Falconer T, Park RW, You SC, Jeon H, Shin SJ, Reich C.","JCO Clin Cancer Inform. 2021 Jan;5:12-20. doi: 10.1200/CCI.20.00079.","Belenkaya R","JCO Clin Cancer Inform","2021","2021/01/07","PMC8140810","","10.1200/CCI.20.00079"
"38818114","MENDS-on-FHIR: leveraging the OMOP common data model and FHIR standards for national chronic disease surveillance","Essaid S, Andre J, Brooks IM, Hohman KH, Hull M, Jackson SL, Kahn MG, Kraus EM, Mandadi N, Martinez AK, Mui JY, Zambarano B, Soares A.","JAMIA Open. 2024 May 29;7(2):ooae045. doi: 10.1093/jamiaopen/ooae045. eCollection 2024 Jul.","Essaid S","JAMIA Open","2024","2024/05/31","PMC11137321","","10.1093/jamiaopen/ooae045"
"39153282","Harmonizing Norwegian registries onto OMOP common data model: Mapping challenges and opportunities for pregnancy and COVID-19 research","Trinh NT, Houghtaling J, Bernal FL, Hayati S, Maglanoc LA, Lupattelli A, Halvorsen L, Nordeng HM.","Int J Med Inform. 2024 Nov;191:105602. doi: 10.1016/j.ijmedinf.2024.105602. Epub 2024 Aug 14.","Trinh NT","Int J Med Inform","2024","2024/08/17","","","10.1016/j.ijmedinf.2024.105602"
"34727871","Standardizing registry data to the OMOP Common Data Model: experience from three pulmonary hypertension databases","Biedermann P, Ong R, Davydov A, Orlova A, Solovyev P, Sun H, Wetherill G, Brand M, Didden EM.","BMC Med Res Methodol. 2021 Nov 2;21(1):238. doi: 10.1186/s12874-021-01434-3.","Biedermann P","BMC Med Res Methodol","2021","2021/11/03","PMC8565035","","10.1186/s12874-021-01434-3"
"35404974","Extract, transform, load framework for the conversion of health databases to OMOP","Quiroz JC, Chard T, Sa Z, Ritchie A, Jorm L, Gallego B.","PLoS One. 2022 Apr 11;17(4):e0266911. doi: 10.1371/journal.pone.0266911. eCollection 2022.","Quiroz JC","PLoS One","2022","2022/04/11","PMC9000122","","10.1371/journal.pone.0266911"
"36029954","Towards quality improvement of vaccine concept mappings in the OMOP vocabulary with a semi-automated method","Abeysinghe R, Black A, Kaduk D, Li Y, Reich C, Davydov A, Yao L, Cui L.","J Biomed Inform. 2022 Oct;134:104162. doi: 10.1016/j.jbi.2022.104162. Epub 2022 Aug 25.","Abeysinghe R","J Biomed Inform","2022","2022/08/27","PMC9940475","NIHMS1870816","10.1016/j.jbi.2022.104162"
"33506478","Patient Cohort Identification on Time Series Data Using the OMOP Common Data Model","Maier C, Kapsner LA, Mate S, Prokosch HU, Kraus S.","Appl Clin Inform. 2021 Jan;12(1):57-64. doi: 10.1055/s-0040-1721481. Epub 2021 Jan 27.","Maier C","Appl Clin Inform","2021","2021/01/28","PMC7840432","","10.1055/s-0040-1721481"
"35308947","Extracting Patient-level Social Determinants of Health into the OMOP Common Data Model","Phuong J, Zampino E, Dobbins N, Espinoza J, Meeker D, Spratt H, Madlock-Brown C, Weiskopf NG, Wilcox A.","AMIA Annu Symp Proc. 2022 Feb 21;2021:989-998. eCollection 2021.","Phuong J","AMIA Annu Symp Proc","2022","2022/03/21","PMC8861735","",""
"29365340","Towards Implementation of OMOP in a German University Hospital Consortium","Maier C, Lang L, Storf H, Vormstein P, Bieber R, Bernarding J, Herrmann T, Haverkamp C, Horki P, Laufer J, Berger F, Höning G, Fritsch HW, Schüttler J, Ganslandt T, Prokosch HU, Sedlmayr M.","Appl Clin Inform. 2018 Jan;9(1):54-61. doi: 10.1055/s-0037-1617452. Epub 2018 Jan 24.","Maier C","Appl Clin Inform","2018","2018/01/25","PMC5801887","","10.1055/s-0037-1617452"
"36632328","Integrating real-world data to assess cardiac ablation device outcomes in a multicenter study using the OMOP common data model for regulatory decisions: implementation and evaluation","Yu Y, Jiang G, Brandt E, Forsyth T, Dhruva SS, Zhang S, Chen J, Noseworthy PA, Doshi AA, Collison-Farr K, Kim D, Ross JS, Coplan PM, Drozda JP Jr.","JAMIA Open. 2023 Jan 10;6(1):ooac108. doi: 10.1093/jamiaopen/ooac108. eCollection 2023 Apr.","Yu Y","JAMIA Open","2023","2023/01/12","PMC9831049","","10.1093/jamiaopen/ooac108"
"38222375","Computational Phenotyping of OMOP CDM Normalized EHR for Prenatal and Postpartum Episodes: An Informatics Framework and Clinical Implementation on All of Us","Lyu T, Liang C.","AMIA Annu Symp Proc. 2024 Jan 11;2023:1096-1104. eCollection 2023.","Lyu T","AMIA Annu Symp Proc","2024","2024/01/15","PMC10785883","",""
"30085008","Web services for data warehouses: OMOP and PCORnet on i2b2","Klann JG, Phillips LC, Herrick C, Joss MAH, Wagholikar KB, Murphy SN.","J Am Med Inform Assoc. 2018 Oct 1;25(10):1331-1338. doi: 10.1093/jamia/ocy093.","Klann JG","J Am Med Inform Assoc","2018","2018/08/08","PMC6188504","","10.1093/jamia/ocy093"
"41726451","Harmonizing Medicare Claims Data with OMOP: A Validated ETL Pipeline","Lee YA, Lu Y, Bian J, Guo JS, He X.","AMIA Annu Symp Proc. 2025 May 22;2024:715-723. eCollection 2024.","Lee YA","AMIA Annu Symp Proc","2025","2026/02/23","PMC12919608","",""
"36395615","An ETL-process design for data harmonization to participate in international research with German real-world data based on FHIR and OMOP CDM","Peng Y, Henke E, Reinecke I, Zoch M, Sedlmayr M, Bathelt F.","Int J Med Inform. 2023 Jan;169:104925. doi: 10.1016/j.ijmedinf.2022.104925. Epub 2022 Nov 10.","Peng Y","Int J Med Inform","2023","2022/11/17","","","10.1016/j.ijmedinf.2022.104925"
"39631779","Evolution of a Graph Model for the OMOP Common Data Model","Kang M, Alvarado-Guzman JA, Rasmussen LV, Starren JB.","Appl Clin Inform. 2024 Oct;15(5):1056-1065. doi: 10.1055/s-0044-1791487. Epub 2024 Dec 4.","Kang M","Appl Clin Inform","2024","2024/12/04","PMC11617070","","10.1055/s-0044-1791487"
"37128466","Feasibility of Linking Area Deprivation Index Data to the OMOP Common Data Model","Jiang X, Beaton MA, Gillberg J, Williams A, Natarajan K.","AMIA Annu Symp Proc. 2023 Apr 29;2022:587-595. eCollection 2022.","Jiang X","AMIA Annu Symp Proc","2023","2023/05/02","PMC10148322","",""
"31494719","Feasibility of Mapping Austrian Health Claims Data to the OMOP Common Data Model","Haberson A, Rinner C, Schöberl A, Gall W.","J Med Syst. 2019 Sep 7;43(10):314. doi: 10.1007/s10916-019-1436-9.","Haberson A","J Med Syst","2019","2019/09/09","PMC6732152","","10.1007/s10916-019-1436-9"
"33027834","Content Coverage Evaluation of the OMOP Vocabulary on the Transplant Domain Focusing on Concepts Relevant for Kidney Transplant Outcomes Analysis","Cho S, Sin M, Tsapepas D, Dale LA, Husain SA, Mohan S, Natarajan K.","Appl Clin Inform. 2020 Aug;11(4):650-658. doi: 10.1055/s-0040-1716528. Epub 2020 Oct 7.","Cho S","Appl Clin Inform","2020","2020/10/07","PMC7557323","","10.1055/s-0040-1716528"
"40426310","Comprehensive Evaluation of Treatment Patterns in Postmenopausal Patients with Osteoporosis without Fractures: Insights from Tertiary Care Institutions and Nationwide OMOP-CDM Data","Kim KJ, Boo D, Choi J, Yoon H, Jung CY, Ahn SH, Hong N, Kim BJ, Oh JS, You SC.","Endocrinol Metab (Seoul). 2025 Oct;40(5):737-747. doi: 10.3803/EnM.2024.2252. Epub 2025 May 28.","Kim KJ","Endocrinol Metab (Seoul)","2025","2025/05/28","PMC12602003","","10.3803/EnM.2024.2252"
"36307424","Harvesting metadata in clinical care: a crosswalk between FHIR, OMOP, CDISC and openEHR metadata","Bönisch C, Kesztyüs D, Kesztyüs T.","Sci Data. 2022 Oct 28;9(1):659. doi: 10.1038/s41597-022-01792-7.","Bönisch C","Sci Data","2022","2022/10/28","PMC9616884","","10.1038/s41597-022-01792-7"
"38025162","Advancing Toward a Common Data Model in Ophthalmology: Gap Analysis of General Eye Examination Concepts to Standard Observational Medical Outcomes Partnership (OMOP) Concepts","Cai CX, Halfpenny W, Boland MV, Lehmann HP, Hribar M, Goetz KE, Baxter SL.","Ophthalmol Sci. 2023 Aug 25;3(4):100391. doi: 10.1016/j.xops.2023.100391. eCollection 2023 Dec.","Cai CX","Ophthalmol Sci","2023","2023/11/29","PMC10630664","","10.1016/j.xops.2023.100391"
"39950235","Expanding the OMOP Common Data Model to Support Perinatal Research in Network Studies","Abellan A, Burn E, Trinh NTH, Burkard T, Callahan A, Fernández-Bertolín S, Hurley E, Rodriguez C, Segundo E, Morales DR, M E Nordeng H, Duarte-Salles T.","Pharmacoepidemiol Drug Saf. 2025 Feb;34(2):e70106. doi: 10.1002/pds.70106.","Abellan A","Pharmacoepidemiol Drug Saf","2025","2025/02/14","PMC11826376","","10.1002/pds.70106"
"38909216","Learning debiased graph representations from the OMOP common data model for synthetic data generation","Schulz NA, Carus J, Wiederhold AJ, Johanns O, Peters F, Rath N, Rausch K, Holleczek B, Katalinic A; AI-CARE Working Group; Gundler C.","BMC Med Res Methodol. 2024 Jun 22;24(1):136. doi: 10.1186/s12874-024-02257-8.","Schulz NA","BMC Med Res Methodol","2024","2024/06/22","PMC11193245","","10.1186/s12874-024-02257-8"
"36227072","Transforming and evaluating the UK Biobank to the OMOP Common Data Model for COVID-19 research and beyond","Papez V, Moinat M, Voss EA, Bazakou S, Van Winzum A, Peviani A, Payralbe S, Kallfelz M, Asselbergs FW, Prieto-Alhambra D, Dobson RJB, Denaxas S.","J Am Med Inform Assoc. 2022 Dec 13;30(1):103-111. doi: 10.1093/jamia/ocac203.","Papez V","J Am Med Inform Assoc","2022","2022/10/13","PMC9619789","","10.1093/jamia/ocac203"
"38944260","Enhancing healthcare process analysis through object-centric process mining: Transforming OMOP common data models into object-centric event logs","Park G, Lee Y, Cho M.","J Biomed Inform. 2024 Aug;156:104682. doi: 10.1016/j.jbi.2024.104682. Epub 2024 Jun 27.","Park G","J Biomed Inform","2024","2024/06/29","","","10.1016/j.jbi.2024.104682"
"39463847","Integrating longitudinal mental health data into a staging database: harnessing DDI-lifecycle and OMOP vocabularies within the INSPIRE Network Datahub","Mugotitsa B, Bhattacharjee T, Ochola M, Mailosi D, Amadi D, Andeso P, Kuria J, Momanyi R, Omondi E, Kajungu D, Todd J, Kiragga A, Greenfield J.","Front Big Data. 2024 Oct 11;7:1435510. doi: 10.3389/fdata.2024.1435510. eCollection 2024.","Mugotitsa B","Front Big Data","2024","2024/10/28","PMC11502395","","10.3389/fdata.2024.1435510"
"38315345","Development of Medical Imaging Data Standardization for Imaging-Based Observational Research: OMOP Common Data Model Extension","Park WY, Jeon K, Schmidt TS, Kondylakis H, Alkasab T, Dewey BE, You SC, Nagy P.","J Imaging Inform Med. 2024 Apr;37(2):899-908. doi: 10.1007/s10278-024-00982-6. Epub 2024 Feb 5.","Park WY","J Imaging Inform Med","2024","2024/02/05","PMC11031512","","10.1007/s10278-024-00982-6"
"38058679","Transforming Estonian health data to the Observational Medical Outcomes Partnership (OMOP) Common Data Model: lessons learned","Oja M, Tamm S, Mooses K, Pajusalu M, Talvik HA, Ott A, Laht M, Malk M, Lõo M, Holm J, Haug M, Šuvalov H, Särg D, Vilo J, Laur S, Kolde R, Reisberg S.","JAMIA Open. 2023 Dec 5;6(4):ooad100. doi: 10.1093/jamiaopen/ooad100. eCollection 2023 Dec.","Oja M","JAMIA Open","2023","2023/12/07","PMC10697784","","10.1093/jamiaopen/ooad100"
"30306935","Biomedical Informatics Investigator","Elkin PL, Mullin S, Sakilay S.","Stud Health Technol Inform. 2018;255:195-199.","Elkin PL","Stud Health Technol Inform","2018","2018/10/12","PMC7847179","NIHMS1655784",""
"36264262","Integrating real-world data from Brazil and Pakistan into the OMOP common data model and standardized health analytics framework to characterize COVID-19 in the Global South","Junior EPP, Normando P, Flores-Ortiz R, Afzal MU, Jamil MA, Bertolin SF, Oliveira VA, Martufi V, de Sousa F, Bashir A, Burn E, Ichihara MY, Barreto ML, Salles TD, Prieto-Alhambra D, Hafeez H, Khalid S.","J Am Med Inform Assoc. 2023 Mar 16;30(4):643-655. doi: 10.1093/jamia/ocac180.","Junior EPP","J Am Med Inform Assoc","2023","2022/10/20","PMC9619798","","10.1093/jamia/ocac180"
"35077901","Developing an ETL tool for converting the PCORnet CDM into the OMOP CDM to facilitate the COVID-19 data integration","Yu Y, Zong N, Wen A, Liu S, Stone DJ, Knaack D, Chamberlain AM, Pfaff E, Gabriel D, Chute CG, Shah N, Jiang G.","J Biomed Inform. 2022 Mar;127:104002. doi: 10.1016/j.jbi.2022.104002. Epub 2022 Jan 22.","Yu Y","J Biomed Inform","2022","2022/01/25","PMC8791245","","10.1016/j.jbi.2022.104002"
"37442314","Eos and OMOCL: Towards a seamless integration of openEHR records into the OMOP Common Data Model","Kohler S, Boscá D, Kärcher F, Haarbrandt B, Prinz M, Marschollek M, Eils R.","J Biomed Inform. 2023 Aug;144:104437. doi: 10.1016/j.jbi.2023.104437. Epub 2023 Jul 12.","Kohler S","J Biomed Inform","2023","2023/07/13","","","10.1016/j.jbi.2023.104437"
"37361151","Enabling data sharing and utilization for African population health data using OHDSI tools with an OMOP-common data model","Kiwuwa-Muyingo S, Todd J, Bhattacharjee T, Taylor A, Greenfield J.","Front Public Health. 2023 Jun 9;11:1116682. doi: 10.3389/fpubh.2023.1116682. eCollection 2023.","Kiwuwa-Muyingo S","Front Public Health","2023","2023/06/26","PMC10287979","","10.3389/fpubh.2023.1116682"
"38626510","recruIT: A cloud-native clinical trial recruitment support system based on Health Level 7 Fast Healthcare Interoperability Resources (HL7 FHIR) and the Observational Medical Outcomes Partnership Common Data Model (OMOP CDM)","Gulden C, Macho P, Reinecke I, Strantz C, Prokosch HU, Blasini R.","Comput Biol Med. 2024 May;174:108411. doi: 10.1016/j.compbiomed.2024.108411. Epub 2024 Apr 6.","Gulden C","Comput Biol Med","2024","2024/04/16","","","10.1016/j.compbiomed.2024.108411"
"37621207","An Extract-Transform-Load Process Design for the Incremental Loading of German Real-World Data Based on FHIR and OMOP CDM: Algorithm Development and Validation","Henke E, Peng Y, Reinecke I, Zoch M, Sedlmayr M, Bathelt F.","JMIR Med Inform. 2023 Aug 21;11:e47310. doi: 10.2196/47310.","Henke E","JMIR Med Inform","2023","2023/08/25","PMC10466444","","10.2196/47310"
"35292697","Analysis of treatment pattern of anti-dementia medications in newly diagnosed Alzheimer's dementia using OMOP CDM","Byun J, Lee DY, Jeong CW, Kim Y, Rhee HY, Moon KW, Heo J, Hong Y, Kim WJ, Nam SJ, Choi HS, Park JI, Chun IK, Bak SH, Lee K, Byeon GH, Kim KL, Kim JA, Park YJ, Kim JH, Lee EJ, Lee SA, Kwon SO, Park SW, Kasani PH, Kim JK, Kim Y, Kim S, Jang JW.","Sci Rep. 2022 Mar 15;12(1):4451. doi: 10.1038/s41598-022-08595-1.","Byun J","Sci Rep","2022","2022/03/16","PMC8924152","","10.1038/s41598-022-08595-1"
"35790207","Perceived Risk of Re-Identification in OMOP-CDM Database: A Cross-Sectional Survey","Tak YW, You SC, Han JH, Kim SS, Kim GT, Lee Y.","J Korean Med Sci. 2022 Jul 4;37(26):e205. doi: 10.3346/jkms.2022.37.e205.","Tak YW","J Korean Med Sci","2022","2022/07/05","PMC9259248","","10.3346/jkms.2022.37.e205"
"37190741","Feasibility Study of Federated Learning on the Distributed Research Network of OMOP Common Data Model","Lee GH, Park J, Kim J, Kim Y, Choi B, Park RW, Rhee SY, Shin SY.","Healthc Inform Res. 2023 Apr;29(2):168-173. doi: 10.4258/hir.2023.29.2.168. Epub 2023 Apr 30.","Lee GH","Healthc Inform Res","2023","2023/05/16","PMC10209729","","10.4258/hir.2023.29.2.168"
"35115001","Evaluating the performance of temporal pattern discovery: new application using statins and rhabdomyolysis in OMOP databases","Lavallee M, Yu T, Evans L, Van Hemelrijck M, Bosco C, Golozar A, Asiimwe A.","BMC Med Inform Decis Mak. 2022 Feb 3;22(1):31. doi: 10.1186/s12911-022-01765-1.","Lavallee M","BMC Med Inform Decis Mak","2022","2022/02/04","PMC8812213","","10.1186/s12911-022-01765-1"
"40189628","A scoping review of OMOP CDM adoption for cancer research using real world data","Wang L, Wen A, Fu S, Ruan X, Huang M, Li R, Lu Q, Lyu H, Williams AE, Liu H.","NPJ Digit Med. 2025 Apr 7;8(1):189. doi: 10.1038/s41746-025-01581-7.","Wang L","NPJ Digit Med","2025","2025/04/06","PMC11973147","","10.1038/s41746-025-01581-7"
"36884279","An Ontology-Based Approach for Consolidating Patient Data Standardized With European Norm/International Organization for Standardization 13606 (EN/ISO 13606) Into Joint Observational Medical Outcomes Partnership (OMOP) Repositories: Description of a Methodology","Frid S, Pastor Duran X, Bracons Cucó G, Pedrera-Jiménez M, Serrano-Balazote P, Muñoz Carrero A, Lozano-Rubí R.","JMIR Med Inform. 2023 Mar 8;11:e44547. doi: 10.2196/44547.","Frid S","JMIR Med Inform","2023","2023/03/08","PMC10034609","","10.2196/44547"
"31238109","HemOnc: A new standard vocabulary for chemotherapy regimen representation in the OMOP common data model","Warner JL, Dymshyts D, Reich CG, Gurley MJ, Hochheiser H, Moldwin ZH, Belenkaya R, Williams AE, Yang PC.","J Biomed Inform. 2019 Aug;96:103239. doi: 10.1016/j.jbi.2019.103239. Epub 2019 Jun 22.","Warner JL","J Biomed Inform","2019","2019/06/26","PMC6697579","NIHMS1534326","10.1016/j.jbi.2019.103239"
"38326827","Evaluating MedDRA-to-ICD terminology mappings","Zhang X, Feng Y, Li F, Ding J, Tahseen D, Hinojosa E, Chen Y, Tao C.","BMC Med Inform Decis Mak. 2024 Feb 7;23(Suppl 4):299. doi: 10.1186/s12911-023-02375-1.","Zhang X","BMC Med Inform Decis Mak","2024","2024/02/07","PMC10851449","","10.1186/s12911-023-02375-1"
"38061012","MI-Common Data Model: Extending Observational Medical Outcomes Partnership-Common Data Model (OMOP-CDM) for Registering Medical Imaging Metadata and Subsequent Curation Processes","Kalokyri V, Kondylakis H, Sfakianakis S, Nikiforaki K, Karatzanis I, Mazzetti S, Tachos N, Regge D, Fotiadis DI, Marias K, Tsiknakis M.","JCO Clin Cancer Inform. 2023 Sep;7:e2300101. doi: 10.1200/CCI.23.00101.","Kalokyri V","JCO Clin Cancer Inform","2023","2023/12/07","PMC10715775","","10.1200/CCI.23.00101"
"40327502","dsOMOP: bridging OMOP CDM and DataSHIELD for secure federated analysis of standardized clinical data","Sarrat-González D, Escribà-Montagut X, Houghtaling J, González JR.","Bioinformatics. 2025 Jun 2;41(6):btaf286. doi: 10.1093/bioinformatics/btaf286.","Sarrat-González D","Bioinformatics","2025","2025/05/06","PMC12187060","","10.1093/bioinformatics/btaf286"
"37674813","The Effect of Statins on Mortality of Patients With Chronic Kidney Disease Based on Data of the Observational Medical Outcomes Partnership Common Data Model (OMOP-CDM) and Korea National Health Insurance Claims Database","Kim JE, Choi YJ, Oh SW, Kim MG, Jo SK, Cho WY, Ahn SY, Kwon YJ, Ko GJ.","Front Nephrol. 2022 Feb 2;1:821585. doi: 10.3389/fneph.2021.821585. eCollection 2021.","Kim JE","Front Nephrol","2022","2023/09/07","PMC10479676","","10.3389/fneph.2021.821585"
"34514354","Transforming and evaluating electronic health record disease phenotyping algorithms using the OMOP common data model: a case study in heart failure","Papez V, Moinat M, Payralbe S, Asselbergs FW, Lumbers RT, Hemingway H, Dobson R, Denaxas S.","JAMIA Open. 2021 Feb 4;4(3):ooab001. doi: 10.1093/jamiaopen/ooab001. eCollection 2021 Jul.","Papez V","JAMIA Open","2021","2021/09/13","PMC8423424","","10.1093/jamiaopen/ooab001"
"29295240","An OMOP CDM-Based Relational Database of Clinical Research Eligibility Criteria","Si Y, Weng C.","Stud Health Technol Inform. 2017;245:950-954.","Si Y","Stud Health Technol Inform","2017","2018/01/04","PMC5893219","NIHMS955981",""
