Filename,DOI,OpenAlex ID,PMID,PMCID,Title,Authors,First Author,Journal,Publication Year,Create Date,Citation,Metadata Source,File Size Bytes,Page Count,SHA256,PDF Title,PDF Author,PDF Subject,PDF Keywords,PDF Creator,PDF Producer
10.1016_j.neubiorev.2017.12.007__3369e2e4afe6.pdf,10.1016/j.neubiorev.2017.12.007,,,,Prenatal antidepressant exposure and the risk of attention-deficit hyperactivity disorder in children: A systematic review and meta-analysis,"Man K, Chan E, Ip P, Coghill D, Simonoff E, Chan P, Lau W, Schuemie M, Sturkenboom M, Wong I",Man K,Neuroscience &amp; Biobehavioral Reviews,2018,,,crossref,730300,35,6231f000bb7eb63b4d0776fe6fb8589d49d3bab62292c274c0cd4dbed89961a8,,,,,,OpenPDF 1.4.2
10.1016_s0735-1097_01_01702-8__65c0e2dc7618.pdf,10.1016/s0735-1097_01_01702-8,,,,,,,,,,,pdf_only,168820,18,405e90fa36e3487622282da42932a5248c50b7c78231ea2a5fca26845e8c536a,,,,,,OpenPDF 1.4.2
10.1017_cjn.2019.328__df77c4cbac29.pdf,10.1017/cjn.2019.328,,,,<i>Salmonella Typhi</i> Bacteremia and Mild Encephalitis with a Reversible Splenial Lesion,"McKenzie E, Sugarman J, Peng J, Bond C, Teleg E, Minty E, Cooke L",McKenzie E,Canadian Journal of Neurological Sciences / Journal Canadien des Sciences Neurologiques,2019,,,crossref,337476,3,2513033f42009c7ab6b4394656c741a21a2560893cca427a066ad0a5566ca092,CJN-1900328 261..263,,,,Arbortext Advanced Print Publisher 9.1.405/W Unicode,Acrobat Distiller 10.1.16 (Windows)
10.1017_cts.2021.880__997197699dbb.pdf,10.1017/cts.2021.880,,35211336,PMC8826001,Ensuring a safe(r) harbor: Excising personally identifiable information from structured electronic health record data,"Pfaff ER, Haendel MA, Kostka K, Lee A, Niehaus E, Palchuk MB, Walters K, Chute CG.",Pfaff ER,J Clin Transl Sci,2021,2022/02/25,J Clin Transl Sci. 2021 Dec 9;6(1):e10. doi: 10.1017/cts.2021.880. eCollection 2022.,existing_csv,296934,3,cd6984008a69cb8343e7984ce9e20cdec9b3a4c4905df965d338121609a114cf,Ensuring a safe(r) harbor: Excising personally identifiable information from structured electronic health record data,,,,Arbortext Advanced Print Publisher 9.1.405/W Unicode,Acrobat Distiller 10.0.0 (Windows)
10.1017_cts.2023.623__056be4a95fe8.pdf,10.1017/cts.2023.623,,,,Uncovering key clinical trial features influencing recruitment,"Idnay B, Fang Y, Butler A, Moran J, Li Z, Lee J, Ta C, Liu C, Yuan C, Chen H, Stanley E, Hripcsak G, Larson E, Marder K, Chung W, Ruotolo B, Weng C",Idnay B,Journal of Clinical and Translational Science,2023,,,crossref,655142,11,394d80e492b6872d6544447b4810302a9049f47dab330f56681dfba1a4281a58,Uncovering key clinical trial features influencing recruitment,,,,Arbortext Advanced Print Publisher 9.1.405/W Unicode,Acrobat Distiller 10.0.0 (Windows)
10.1017_cts.2024.77__245e047c4013.pdf,10.1017/cts.2024.77,,,,76 Lessons learned during implementation of OMOP common data model across multiple health systems,"Garneau W, Martin B, Gebo K, Nagy P, Hopkins J, Boyce D, Cook M, Robinson M",Garneau W,Journal of Clinical and Translational Science,2024,,,crossref,52252,1,4025e67f326349d8738113f092a377fef5e8f131fea176c56534c47c86d0e2b5,,,,,,iTextSharp™ 5.5.13.1 ©2000-2019 iText Group NV (AGPL-version)
10.1017_jpa.2016.118__b5ac946f8bbc.pdf,10.1017/jpa.2016.118,,,,"Ontogeny of the articulated yiliangellinine trilobite<i>Zhangshania typica</i>from the lower Cambrian (Series 2, Stage 3) of southern China","Hou J, Hughes N, Yang J, Lan T, Zhang X, Dominguez C",Hou J,Journal of Paleontology,2016,,,crossref,3510422,14,16ae9828f8658e19d7681bbcd04f8121288c9844e86822ef65506a35f5e95156,untitled,,,,Arbortext Advanced Print Publisher 10.0.1465/W Unicode,Acrobat Distiller 10.1.8 (Windows)
10.1017_jpa.2020.23__6551ed2bab85.pdf,10.1017/jpa.2020.23,,,,"<i>Satunarcus</i>, a new late Cambrian trilobite genus from southernmost Thailand and a reevaluation of the subfamily Mansuyiinae Hupé, 1955","Wernette S, Hughes N, Myrow P, Sardsud A",Wernette S,Journal of Paleontology,2020,,,crossref,1571155,14,fae2d76165d3188a52fb51b3bd7b892f7451a0cb5c80ed98f2e97b5293a49561,S0022336020000232jra 867..880,,,,Arbortext Advanced Print Publisher 10.0.1465/W Unicode,Acrobat Distiller 7.0.5 (Windows)
10.1017_jpa.2020.96__e8acc1905a81.pdf,10.1017/jpa.2020.96,,,,Articulated trilobite ontogeny: suggestions for a methodological standard,"Hughes N, Adrain J, Holmes J, Hong P, Hopkins M, Hou J, Minelli A, Park T, Paterson J, Peng J, Webster M, Zhang X, Zhang X, Fusco G",Hughes N,Journal of Paleontology,2020,,,crossref,497011,7,199c0b35212fd089710c434e2ff484a9f72de76f95b4c59dc02521c1a1fc0273,S0022336020000967jra 298..304,,,,Arbortext Advanced Print Publisher 10.0.1465/W Unicode,Acrobat Distiller 8.1.0 (Windows)
10.1017_jpa.2021.104__950ad82b1562.pdf,10.1017/jpa.2021.104,,,,JPA volume 95 issue 6 Cover and Back matter,,,Journal of Paleontology,2021,,,crossref,647740,5,08fc0ab598db7b0d9c6b8f3da2b1d5680da318760ccd17145fd907f8e8db3c9b,JPA_95_6_ADVERTS 1..3,,,,Arbortext Advanced Print Publisher 10.0.1465/W Unicode,Acrobat Distiller 8.1.0 (Windows)
10.1017_jpa.2021.76__e9140c33bff2.pdf,10.1017/jpa.2021.76,,,,JPA volume 95 issue 5 Cover and Back matter,,,Journal of Paleontology,2021,,,crossref,299518,3,80fda08af405c6c397be077a8b9f2b0e0ddc4a188698a1ba619ce41811c051b6,JPA_ADVERT1 1..1,,,,Arbortext Advanced Print Publisher 10.0.1465/W Unicode,Acrobat Distiller 8.1.0 (Windows)
10.1017_jpa.2022.7__c21937c5788d.pdf,10.1017/jpa.2022.7,,,,"Systematic paleontology, acritarch biostratigraphy, and δ<sup>13</sup>C chemostratigraphy of the early Ediacaran Krol A Formation, Lesser Himalaya, northern India","Xiao S, Jiang G, Ye Q, Ouyang Q, Banerjee D, Singh B, Muscente A, Zhou C, Hughes N",Xiao S,Journal of Paleontology,2022,,,crossref,9092930,62,2440d7ebc4687f3661b5b315a39d6b68aa90ab22dde4e1f9cc1fa6dd3679080f,S0022336022000075jra 159..220,,,,Arbortext Advanced Print Publisher 10.0.1465/W Unicode,Acrobat Distiller 7.0 (Windows)
10.1017_jpa.2023.29__f0168c3917ad.pdf,10.1017/jpa.2023.29,,,,"Morphology, variation, and systematics of the late Cambrian Laurentian dikelocephalid trilobite <i>Walcottaspis vanhornei</i> (Walcott, 1914)","Srivastava S, Hughes N",Srivastava S,Journal of Paleontology,2023,,,crossref,2800349,22,3bdf8546dce8708163a93b652c01776c2639a5eb8da50fa14f18a482ea8cbc31,S002233602300029Xjra 612..633,,,,Arbortext Advanced Print Publisher 10.0.1465/W Unicode,Acrobat Distiller 8.1.0 (Windows)
10.1017_jpa.2024.18__150ee897f4a5.pdf,10.1017/jpa.2024.18,,,,Virtual taphonomy of trilobite heads: understanding compressive deformation using 3D modeling and rigid body simulation,"Jung J, Park T, Hughes N",Jung J,Journal of Paleontology,2024,,,crossref,686027,12,7196df8d97ea2b5166748b726d6d672f8ba53c6ad42b290f162341aa4c05a665,S0022336024000180jra 720..731,,,,Arbortext Advanced Print Publisher 10.0.1465/W Unicode,Acrobat Distiller 8.1.0 (Windows)
10.1017_jpa.2025.10103__4db54898afdb.pdf,10.1017/jpa.2025.10103,,,,"Occurrence, morphology, and taxonomy of the late Cambrian Laurentian dikelocephalid trilobite
                    <i>Osceolia</i>
                    Walcott, 1914","Srivastava-Losey S, Hughes N",Srivastava-Losey S,Journal of Paleontology,2025,,,crossref,34378611,34,8c5500abbd2f3510b52a2e40232f76f87e48b4edbb60f8a84b607395c69ad40d,JPA_2510103 914..947,,,,Arbortext Advanced Print Publisher 9.0.223/W Unicode,Acrobat Distiller 25.0 (Windows)
10.1017_jpa.2025.10212__fd3df52ab6f8.pdf,10.1017/jpa.2025.10212,,,,Citation for Dr. Brenda Hunda for 2025 Pojeta Award,Hughes N,Hughes N,Journal of Paleontology,2026,,,crossref,250385,1,05ecc721883d41ca1c3cda9f7fcb1c7437cccc2db36ea6bf77bcc8ee5f388d03,JPA_2510212 1..1,,,,CUP,Acrobat Distiller 25.0 (Windows); modified using iTextSharp™ 5.5.14-SNAPSHOT ©2000-2020 iText Group NV (AGPL-version)
10.1017_pab.2020.63__866c830d49a4.pdf,10.1017/pab.2020.63,,,,"Absolute axial growth and trunk segmentation in the early Cambrian trilobite
                    <i>Oryctocarella duyunensis</i>","Dai T, Hughes N, Zhang X, Fusco G",Dai T,Paleobiology,2021,,,crossref,687921,16,a614306d7d4183f63ecc64d671a0fb7f97621b5c6a00c2886a9175adbd76cd96,S0094837320000639jra 517..532,,,,Arbortext Advanced Print Publisher 10.0.1465/W Unicode,Acrobat Distiller 8.1.0 (Windows)
10.1017_s0016756800019683__5d839fc99211.pdf,10.1017/s0016756800019683,,,,GEO volume 128 issue 6 Cover and Back matter,,,Geological Magazine,1991,,,crossref,1700029,22,16d3bb8c1ad98d3fd866f15632a289b9c2fbd1e9c96d2e1f2c0992a8b27fb345,GEO volume 128 issue 6 Cover and Back matter,,Geological Magazine,,ABBYY FineReader,(via http://big.faceless.org/products/pdf?version=2.8.4)
10.1017_s0016756800023116__e11e5aa88dbf.pdf,10.1017/s0016756800023116,,,,GEO volume 130 issue 6 Cover and Back matter,,,Geological Magazine,1993,,,crossref,1704996,21,9004d182fc36d4c398f41c5fbaacb893b11146f269b4c0faf4a4f646e650ffd3,GEO volume 130 issue 6 Cover and Back matter,,Geological Magazine,,ABBYY FineReader,(via http://big.faceless.org/products/pdf?version=2.8.4)
10.1017_s0016756810000750__e0dafe36a571.pdf,10.1017/s0016756810000750,,,,"Cambrian rocks and faunas of the Wachi La, Black Mountains, Bhutan","HUGHES N, MYROW P, MCKENZIE N, HARPER D, BHARGAVA O, TANGRI S, GHALLEY K, FANNING C",HUGHES N,Geological Magazine,2010,,,crossref,6985642,29,10bf7edd64105fbc40b894ecfd4702c3f62eed59e58daff0e51a9148c3342946,geo1000075a,,,,dvips(k) 5.95a Copyright 2005 Radical Eye Software,Acrobat Distiller 7.0.5 for Macintosh
10.1017_s0033291723001022__88c471b80f1a.pdf,10.1017/s0033291723001022,,,,Safety Outcomes of Selective Serotonin Reuptake Inhibitors in Adolescent Attention-Deficit/Hyperactivity Disorder with Comorbid Depression: The ASSURE Study – CORRIGENDUM,"Kim C, Lee D, Park J, Yang S, Tan E, Prieto-Alhambra D, Lee Y, Lee S, Kim S, Lee J, Park R, Shin Y",Kim C,Psychological Medicine,2023,,,crossref,64178,1,2cadbd4da825e6fe44cfa20599d9ce2dbeda2e3e20e2863513ab097ef634fe26,S0033291723001022jer 4831..4831,,,,Arbortext Advanced Print Publisher 10.0.1465/W Unicode,Acrobat Distiller 8.1.0 (Windows)
10.1017_s0144686x23000259__38c86ab0ecbd.pdf,10.1017/s0144686x23000259,,,,The meaning of home when you don't live there anymore: Using body mapping with people with dementia in care homes,"Smith L, Carr C, Chesher I, Phillipson L",Smith L,Ageing and Society,2023,,,crossref,930041,26,11f8c2b3839878195198554f932acfe259f9a97706966c236a85e8f7e56cb5bd,S0144686X23000259jra 1..26,,,,Arbortext Advanced Print Publisher 10.0.1465/W Unicode,Acrobat Distiller 8.1.0 (Windows)
10.1017_s0263574720001162__65e4e47c9205.pdf,10.1017/s0263574720001162,,,,Computational Robot Design and Customization,"Sung C, MacCurdy R, Coros S, Yim M",Sung C,Robotica,2021,,,crossref,86192,2,68cf0fc17b51e324824f4c7fa1f2826b1e9cec90112ae5921086ef0514c599f2,,,,,LaTeX with hyperref package,Acrobat Distiller 10.0.0 (Windows)
10.1017_s1368980010001278__4c377206bad0.pdf,10.1017/s1368980010001278,,,,Smoking during pregnancy is associated with higher dietary intake of polycyclic aromatic hydrocarbons and poor diet quality,"Duarte-Salles T, Mendez M, Pessoa V, Guxens M, Aguilera I, Kogevinas M, Sunyer J",Duarte-Salles T,Public Health Nutrition,2010,,,crossref,205951,10,e79ef74aad372813b49f7b3766e95ccb812e361e342588dd8b59f30738597198,untitled,,,,Arbortext Advanced Print Publisher 9.0.226/W,Acrobat Distiller 8.1.0 (Windows)
10.1017_s2475262200001878__be3efebee741.pdf,10.1017/s2475262200001878,,,,Morphometric Aspects of Growth and Variation in An Assemblage of Silurian Trilobites,"Hughes N, Chapman R",Hughes N,The Paleontological Society Special Publications,1996,,,crossref,270531,1,ed0a4a63a649d266edd60d87c40abfcb7a885ab479cc2bfe34dd46045da84e63,,,,,Adobe Acrobat 8.1,Adobe Acrobat 8.1 Paper Capture Plug-in
10.1017_s2475262200001891__f18ef718480e.pdf,10.1017/s2475262200001891,,,,"Growth, Allometry, Shape-Variation and Instar Discretion in Agnostoid Trilobites","Hunt G, Chapman R, Hughes N",Hunt G,The Paleontological Society Special Publications,1996,,,crossref,224555,1,9cd86e786c6370309548efe92af8255bf994254c8a68ae0b62847bb20ffbf067,,,,,Adobe Acrobat 8.1,Adobe Acrobat 8.1 Paper Capture Plug-in
10.1017_s2475262200007012__987bde9f470a.pdf,10.1017/s2475262200007012,,,,Cambrian trilobite faunas from India: a multivariate and computer-graphic reappraisal and its paleogeographic implications,"Hughes N, Jell P",Hughes N,The Paleontological Society Special Publications,1992,,,crossref,284318,1,5f537487e1c19610f712ab891ff775c30ee3f3758ac0a3f382b0405ae9ee553c,,,,,Adobe Acrobat 8.1,Adobe Acrobat 8.1 Paper Capture Plug-in
10.1038_bjc.2014.654__0e03c7234475.pdf,10.1038/bjc.2014.654,,,,"Fruit and vegetable consumption in relation to hepatocellular carcinoma in a multi-centre, European cohort study","Bamia C, Lagiou P, Jenab M, Aleksandrova K, Fedirko V, Trichopoulos D, Overvad K, Tjønneland A, Olsen A, Clavel-Chapelon F, Boutron-Ruault M, Kvaskoff M, Katzke V, Kühn T, Boeing H, Nöthlings U, Palli D, Sieri S, Panico S, Tumino R, Naccarati A, Bueno-de-Mesquita H, Peeters P, Weiderpass E, Skeie G, Quirós J, Agudo A, Chirlaque M, Sanchez M, Ardanaz E, Dorronsoro M, Ericson U, Nilsson L, Wennberg M, Khaw K, Wareham N, Key T, Travis R, Ferrari P, Stepien M, Duarte-Salles T, Norat T, Murphy N, Riboli E, Trichopoulou A",Bamia C,British Journal of Cancer,2015,,,crossref,240052,10,d081c3ac834a79ea81bae1828be324da253d39eba031a5f2f2bf114e5bed93ce,"Fruit and vegetable consumption in relation to hepatocellular carcinoma in a multi-centre, European cohort study",C Bamia,"British Journal of Cancer 112, 1273 (2015). doi:10.1038/bjc.2014.654",,Arbortext Advanced Print Publisher 9.0.226/W,Acrobat Distiller 11.0.9(Windows)
10.1038_ncomms7696__e9c94074bd8e.pdf,10.1038/ncomms7696,,,,Global migration of influenza A viruses in swine,"Nelson M, Viboud C, Vincent A, Culhane M, Detmer S, Wentworth D, Rambaut A, Suchard M, Holmes E, Lemey P",Nelson M,Nature Communications,2015,,,crossref,2272922,11,f52a5efe3862c47a76d6e0dc4c19a40af2b5a9185daa36d5b7feea2018cc3d0d,Global migration of influenza A viruses in swine,Martha I. Nelson,"Nature Communications 6,  (2015). doi:10.1038/ncomms7696",,Arbortext Advanced Print Publisher 9.0.226/W,Acrobat Distiller 11.0.9(Windows)
10.1038_nrd.2018.52__81d69e1665e6.pdf,10.1038/nrd.2018.52,,,,Erratum: Unexplored therapeutic opportunities in the human genome,"Oprea T, Bologa C, Brunak S, Campbell A, Gan G, Gaulton A, Gomez S, Guha R, Hersey A, Holmes J, Jadhav A, Jensen L, Johnson G, Karlson A, Leach A, Ma'ayan A, Malovannaya A, Mani S, Mathias S, McManus M, Meehan T, von Mering C, Muthas D, Nguyen D, Overington J, Papadatos G, Qin J, Reich C, Roth B, Schürer S, Simeonov A, Sklar L, Southall N, Tomita S, Tudose I, Ursu O, Vidovic´ D, Waller A, Westergaard D, Yang J, Zahoránszky-Köhalmi G",Oprea T,Nature Reviews Drug Discovery,2018,,,crossref,62395,1,71c26f386b7bd4ec7013dabacf90662fa226e283ef506cdb81f088e89fe9b465,Unexplored therapeutic opportunities in the human genome,Tudor I. Oprea,"Nature Reviews Drug Discovery, (2018). doi:10.1038/nrd.2018.52",,Adobe InDesign CC 2014 (Macintosh),Acrobat Distiller 11.0.9(Windows)
10.1038_s41380-025-03282-9__d6ebcd8dcdf6.pdf,10.1038/s41380-025-03282-9,,,,Identifying affective state via clustering of temporal variability in limbic activity and mediating role of negative emotion,"Lee D, Lee S, Son S, Park R, Park B",Lee D,Molecular Psychiatry,2025,,,crossref,1852346,10,1c9ff99861c8718dc2073e17115e510405d9810b4e555447ec840af3467f98fd,Identifying affective state via clustering of temporal variability in limbic activity and mediating role of negative emotion,Dong Yun Lee,"Molecular Psychiatry, doi:10.1038/s41380-025-03282-9",,Springer,
10.1038_s41398-021-01760-6__6204fd0d513a.pdf,10.1038/s41398-021-01760-6,,34930903,PMC8688463,Predictors of diagnostic transition from major depressive disorder to bipolar disorder: a retrospective observational network study,"Nestsiarovich A, Reps JM, Matheny ME, DuVall SL, Lynch KE, Beaton M, Jiang X, Spotnitz M, Pfohl SR, Shah NH, Torre CO, Reich CG, Lee DY, Son SJ, You SC, Park RW, Ryan PB, Lambert CG.",Nestsiarovich A,Transl Psychiatry,2021,2021/12/21,Transl Psychiatry. 2021 Dec 20;11(1):642. doi: 10.1038/s41398-021-01760-6.,existing_csv,1353444,8,26b8a436e10eff62a5b74bb59c9acd56d066a3d924160c7bbbd8d337f9c71abb,Predictors of diagnostic transition from major depressive disorder to bipolar disorder: a retrospective observational network study,Anastasiya Nestsiarovich,"Translational Psychiatry, doi:10.1038/s41398-021-01760-6",,Springer,iText® 5.3.5 ©2000-2012 1T3XT BVBA (SPRINGER SBM; licensed version)
10.1038_s41398-024-02989-7__81e3d9593609.pdf,10.1038/s41398-024-02989-7,,,,Neuroimaging and natural language processing-based classification of suicidal thoughts in major depressive disorder,"Lee D, Byeon G, Kim N, Son S, Park R, Park B",Lee D,Translational Psychiatry,2024,,,crossref,1881457,9,70e72fd2707eff5e8d6fd2151d2f6a69d9e00332fde61489b3e6cd38e2708440,Neuroimaging and natural language processing-based classification of suicidal thoughts in major depressive disorder,Dong Yun Lee,"Translational Psychiatry, doi:10.1038/s41398-024-02989-7",,Springer,iText® 5.3.5 ©2000-2012 1T3XT BVBA (SPRINGER SBM; licensed version)
10.1038_s41467-018-03763-2__2c01c69507f0.pdf,10.1038/s41467-018-03763-2,,,,Phylodynamic assessment of intervention strategies for the West African Ebola virus outbreak,"Dellicour S, Baele G, Dudas G, Faria N, Pybus O, Suchard M, Rambaut A, Lemey P",Dellicour S,Nature Communications,2018,,,crossref,7469183,9,2a9b0926df8e7d0bd60c172d90e3d442d40505e4874c9e7f1ad3a0e8751df95a,Phylodynamic assessment of intervention strategies for the West African Ebola virus outbreak,Simon Dellicour,"Nature Communications, doi:10.1038/s41467-018-03763-2",,Springer,iText® 5.3.5 ©2000-2012 1T3XT BVBA (AGPL-version)
10.1038_s41467-018-03911-8__acaee8958fe4.pdf,10.1038/s41467-018-03911-8,,,,Analysis of predicted loss-of-function variants in UK Biobank identifies variants protective for disease,"Emdin C, Khera A, Chaffin M, Klarin D, Natarajan P, Aragam K, Haas M, Bick A, Zekavat S, Nomura A, Ardissino D, Wilson J, Schunkert H, McPherson R, Watkins H, Elosua R, Bown M, Samani N, Baber U, Erdmann J, Gupta N, Danesh J, Chasman D, Ridker P, Denny J, Bastarache L, Lichtman J, D’Onofrio G, Mattera J, Spertus J, Sheu W, Taylor K, Psaty B, Rich S, Post W, Rotter J, Chen Y, Krumholz H, Saleheen D, Gabriel S, Kathiresan S",Emdin C,Nature Communications,2018,,,crossref,831270,8,483784bc42e534a3c4c3aaa9be886dd1f24724e5223d31e37e66c3d4d9d73c74,Analysis of predicted loss-of-function variants in UK Biobank identifies variants protective for disease,Connor A. Emdin,"Nature Communications, doi:10.1038/s41467-018-03911-8",,Springer,iText® 5.3.5 ©2000-2012 1T3XT BVBA (AGPL-version)
